Time,CO₂(ppm),Temperature(°C),Humidity(%),Pressure(hPa)
1/15/2021 12:00:06 a. m.,"357","25.5","26","947"
1/15/2021 12:01:06 a. m.,"360","25.5","26","947"
1/15/2021 12:02:06 a. m.,"362","25.5","26","947"
1/15/2021 12:03:06 a. m.,"354","25.4","26","947"
1/15/2021 12:04:06 a. m.,"360","25.4","26","947"
1/15/2021 12:05:06 a. m.,"366","25.4","26","947"
1/15/2021 12:06:06 a. m.,"350","25.4","26","947"
1/15/2021 12:07:06 a. m.,"358","25.4","26","947"
1/15/2021 12:08:06 a. m.,"362","25.4","26","947"
1/15/2021 12:09:06 a. m.,"360","25.4","26","947"
1/15/2021 12:10:06 a. m.,"358","25.4","26","947"
1/15/2021 12:11:06 a. m.,"364","25.3","26","947"
1/15/2021 12:12:06 a. m.,"363","25.3","26","947"
1/15/2021 12:13:06 a. m.,"350","25.3","26","947"
1/15/2021 12:14:06 a. m.,"371","25.3","26","947"
1/15/2021 12:15:06 a. m.,"360","25.3","26","947"
1/15/2021 12:16:06 a. m.,"356","25.3","26","947"
1/15/2021 12:17:06 a. m.,"363","25.3","26","947"
1/15/2021 12:18:06 a. m.,"358","25.3","26","947"
1/15/2021 12:19:06 a. m.,"360","25.3","26","947"
1/15/2021 12:20:06 a. m.,"361","25.3","26","947"
1/15/2021 12:21:06 a. m.,"358","25.3","26","947"
1/15/2021 12:22:06 a. m.,"373","25.3","26","947"
1/15/2021 12:23:06 a. m.,"351","25.3","26","947"
1/15/2021 12:24:06 a. m.,"370","25.3","26","947"
1/15/2021 12:25:06 a. m.,"351","25.3","26","947"
1/15/2021 12:26:06 a. m.,"351","25.3","26","947"
1/15/2021 12:27:06 a. m.,"364","25.3","26","947"
1/15/2021 12:28:06 a. m.,"363","25.3","26","947"
1/15/2021 12:29:06 a. m.,"350","25.3","26","947"
1/15/2021 12:30:06 a. m.,"361","25.3","26","947"
1/15/2021 12:31:06 a. m.,"364","25.3","26","947"
1/15/2021 12:32:06 a. m.,"358","25.3","26","947"
1/15/2021 12:33:06 a. m.,"363","25.3","26","947"
1/15/2021 12:34:06 a. m.,"367","25.3","26","947"
1/15/2021 12:35:06 a. m.,"353","25.3","26","947"
1/15/2021 12:36:06 a. m.,"363","25.3","26","947"
1/15/2021 12:37:06 a. m.,"346","25.2","26","947"
1/15/2021 12:38:06 a. m.,"360","25.3","26","947"
1/15/2021 12:39:06 a. m.,"354","25.2","26","947"
1/15/2021 12:40:06 a. m.,"355","25.2","26","947"
1/15/2021 12:41:06 a. m.,"366","25.2","26","947"
1/15/2021 12:42:06 a. m.,"357","25.2","26","947"
1/15/2021 12:43:06 a. m.,"363","25.2","26","947"
1/15/2021 12:44:06 a. m.,"380","25.2","26","947"
1/15/2021 12:45:06 a. m.,"363","25.2","26","947"
1/15/2021 12:46:06 a. m.,"337","25.2","26","947"
1/15/2021 12:47:06 a. m.,"352","25.2","26","947"
1/15/2021 12:48:06 a. m.,"354","25.1","26","947"
1/15/2021 12:49:06 a. m.,"362","25.1","26","947"
1/15/2021 12:50:06 a. m.,"360","25.1","26","947"
1/15/2021 12:51:06 a. m.,"352","25.1","26","947"
1/15/2021 12:52:06 a. m.,"357","25.1","26","947"
1/15/2021 12:53:06 a. m.,"364","25.1","26","947"
1/15/2021 12:54:06 a. m.,"363","25.0","26","947"
1/15/2021 12:55:06 a. m.,"364","25.0","26","947"
1/15/2021 12:56:06 a. m.,"354","25.0","26","947"
1/15/2021 12:57:06 a. m.,"361","25.0","26","947"
1/15/2021 12:58:06 a. m.,"358","25.0","26","947"
1/15/2021 12:59:06 a. m.,"345","25.0","26","947"
1/15/2021 1:00:06 a. m.,"365","25.0","26","947"
1/15/2021 1:01:06 a. m.,"354","25.0","26","947"
1/15/2021 1:02:06 a. m.,"359","25.0","26","947"
1/15/2021 1:03:06 a. m.,"349","25.0","26","947"
1/15/2021 1:04:06 a. m.,"355","25.0","26","947"
1/15/2021 1:05:06 a. m.,"355","25.0","26","947"
1/15/2021 1:06:06 a. m.,"368","25.0","26","947"
1/15/2021 1:07:06 a. m.,"360","25.0","26","947"
1/15/2021 1:08:06 a. m.,"358","25.0","26","947"
1/15/2021 1:09:06 a. m.,"354","25.0","26","947"
1/15/2021 1:10:06 a. m.,"365","25.0","26","947"
1/15/2021 1:11:06 a. m.,"355","25.0","27","947"
1/15/2021 1:12:06 a. m.,"351","25.0","27","947"
1/15/2021 1:13:06 a. m.,"357","25.0","27","947"
1/15/2021 1:14:06 a. m.,"348","25.0","27","947"
1/15/2021 1:15:06 a. m.,"360","25.0","27","947"
1/15/2021 1:16:06 a. m.,"349","25.0","27","947"
1/15/2021 1:17:06 a. m.,"355","25.0","27","947"
1/15/2021 1:18:06 a. m.,"367","25.0","27","947"
1/15/2021 1:19:06 a. m.,"350","25.0","27","947"
1/15/2021 1:20:06 a. m.,"364","25.0","27","947"
1/15/2021 1:21:06 a. m.,"373","25.0","27","947"
1/15/2021 1:22:06 a. m.,"359","25.0","27","947"
1/15/2021 1:23:06 a. m.,"363","25.0","27","947"
1/15/2021 1:24:06 a. m.,"359","25.0","27","947"
1/15/2021 1:25:06 a. m.,"371","25.0","27","947"
1/15/2021 1:26:06 a. m.,"372","25.0","27","947"
1/15/2021 1:27:06 a. m.,"363","25.0","27","947"
1/15/2021 1:28:06 a. m.,"362","25.0","27","947"
1/15/2021 1:29:06 a. m.,"371","25.0","27","947"
1/15/2021 1:30:06 a. m.,"363","25.0","27","947"
1/15/2021 1:31:06 a. m.,"361","25.0","27","947"
1/15/2021 1:32:06 a. m.,"365","24.9","27","947"
1/15/2021 1:33:06 a. m.,"358","24.9","27","947"
1/15/2021 1:34:06 a. m.,"356","24.9","27","947"
1/15/2021 1:35:06 a. m.,"353","24.9","27","947"
1/15/2021 1:36:06 a. m.,"361","24.9","27","947"
1/15/2021 1:37:06 a. m.,"351","24.9","27","947"
1/15/2021 1:38:06 a. m.,"356","24.9","27","947"
1/15/2021 1:39:06 a. m.,"362","24.9","27","947"
1/15/2021 1:40:06 a. m.,"353","24.9","27","947"
1/15/2021 1:41:06 a. m.,"353","24.9","27","947"
1/15/2021 1:42:06 a. m.,"353","24.9","27","947"
1/15/2021 1:43:06 a. m.,"344","24.9","27","947"
1/15/2021 1:44:06 a. m.,"366","24.9","27","947"
1/15/2021 1:45:06 a. m.,"350","24.8","27","947"
1/15/2021 1:46:06 a. m.,"359","24.8","27","947"
1/15/2021 1:47:06 a. m.,"361","24.8","27","947"
1/15/2021 1:48:06 a. m.,"358","24.8","27","947"
1/15/2021 1:49:06 a. m.,"362","24.8","27","947"
1/15/2021 1:50:06 a. m.,"346","24.8","27","947"
1/15/2021 1:51:06 a. m.,"356","24.8","27","947"
1/15/2021 1:52:06 a. m.,"352","24.8","27","947"
1/15/2021 1:53:06 a. m.,"352","24.8","27","947"
1/15/2021 1:54:06 a. m.,"354","24.8","27","947"
1/15/2021 1:55:06 a. m.,"358","24.8","27","947"
1/15/2021 1:56:06 a. m.,"361","24.8","27","947"
1/15/2021 1:57:06 a. m.,"351","24.8","27","947"
1/15/2021 1:58:06 a. m.,"354","24.8","27","947"
1/15/2021 1:59:06 a. m.,"362","24.8","27","947"
1/15/2021 2:00:06 a. m.,"356","24.8","27","947"
1/15/2021 2:01:06 a. m.,"354","24.7","27","947"
1/15/2021 2:02:06 a. m.,"353","24.7","27","947"
1/15/2021 2:03:06 a. m.,"356","24.7","27","947"
1/15/2021 2:04:06 a. m.,"358","24.7","27","947"
1/15/2021 2:05:06 a. m.,"362","24.7","27","947"
1/15/2021 2:06:06 a. m.,"355","24.6","27","947"
1/15/2021 2:07:06 a. m.,"368","24.6","27","947"
1/15/2021 2:08:06 a. m.,"364","24.7","27","947"
1/15/2021 2:09:06 a. m.,"369","24.6","27","947"
1/15/2021 2:10:06 a. m.,"351","24.6","27","947"
1/15/2021 2:11:06 a. m.,"342","24.6","27","947"
1/15/2021 2:12:06 a. m.,"354","24.6","27","947"
1/15/2021 2:13:06 a. m.,"369","24.6","27","947"
1/15/2021 2:14:06 a. m.,"348","24.5","27","947"
1/15/2021 2:15:06 a. m.,"349","24.5","27","947"
1/15/2021 2:16:06 a. m.,"360","24.5","27","947"
1/15/2021 2:17:06 a. m.,"374","24.5","27","946"
1/15/2021 2:18:06 a. m.,"356","24.5","27","946"
1/15/2021 2:19:06 a. m.,"366","24.5","27","946"
1/15/2021 2:20:06 a. m.,"364","24.4","27","946"
1/15/2021 2:21:06 a. m.,"358","24.4","27","946"
1/15/2021 2:22:06 a. m.,"350","24.4","27","946"
1/15/2021 2:23:06 a. m.,"360","24.4","27","946"
1/15/2021 2:24:06 a. m.,"372","24.4","27","946"
1/15/2021 2:25:06 a. m.,"348","24.4","27","946"
1/15/2021 2:26:06 a. m.,"366","24.3","27","946"
1/15/2021 2:27:06 a. m.,"364","24.3","27","946"
1/15/2021 2:28:06 a. m.,"347","24.3","27","946"
1/15/2021 2:29:06 a. m.,"342","24.3","27","946"
1/15/2021 2:30:06 a. m.,"367","24.3","27","946"
1/15/2021 2:31:06 a. m.,"353","24.3","27","946"
1/15/2021 2:32:06 a. m.,"350","24.3","27","946"
1/15/2021 2:33:06 a. m.,"358","24.3","27","946"
1/15/2021 2:34:06 a. m.,"366","24.3","27","946"
1/15/2021 2:35:06 a. m.,"368","24.2","27","946"
1/15/2021 2:36:06 a. m.,"359","24.2","27","946"
1/15/2021 2:37:06 a. m.,"356","24.2","27","946"
1/15/2021 2:38:06 a. m.,"361","24.2","27","946"
1/15/2021 2:39:06 a. m.,"359","24.2","27","946"
1/15/2021 2:40:06 a. m.,"342","24.2","27","946"
1/15/2021 2:41:06 a. m.,"368","24.2","27","946"
1/15/2021 2:42:06 a. m.,"357","24.2","27","946"
1/15/2021 2:43:06 a. m.,"371","24.2","27","946"
1/15/2021 2:44:06 a. m.,"355","24.1","27","946"
1/15/2021 2:45:06 a. m.,"362","24.1","27","946"
1/15/2021 2:46:06 a. m.,"363","24.2","28","946"
1/15/2021 2:47:06 a. m.,"360","24.2","28","946"
1/15/2021 2:48:06 a. m.,"370","24.1","28","946"
1/15/2021 2:49:06 a. m.,"370","24.1","28","946"
1/15/2021 2:50:06 a. m.,"348","24.2","28","946"
1/15/2021 2:51:06 a. m.,"379","24.1","28","946"
1/15/2021 2:52:06 a. m.,"370","24.1","28","946"
1/15/2021 2:53:06 a. m.,"352","24.1","28","946"
1/15/2021 2:54:06 a. m.,"349","24.1","28","946"
1/15/2021 2:55:06 a. m.,"356","24.1","28","946"
1/15/2021 2:56:06 a. m.,"359","24.1","28","946"
1/15/2021 2:57:06 a. m.,"361","24.1","28","946"
1/15/2021 2:58:06 a. m.,"370","24.1","28","946"
1/15/2021 2:59:06 a. m.,"354","24.0","28","946"
1/15/2021 3:00:06 a. m.,"359","24.0","28","946"
1/15/2021 3:01:06 a. m.,"362","24.0","28","946"
1/15/2021 3:02:06 a. m.,"359","24.0","28","946"
1/15/2021 3:03:06 a. m.,"357","24.0","28","946"
1/15/2021 3:04:06 a. m.,"363","24.0","28","946"
1/15/2021 3:05:06 a. m.,"354","24.0","28","946"
1/15/2021 3:06:06 a. m.,"357","24.0","28","946"
1/15/2021 3:07:06 a. m.,"354","24.0","28","946"
1/15/2021 3:08:06 a. m.,"361","24.0","28","946"
1/15/2021 3:09:06 a. m.,"371","24.0","28","946"
1/15/2021 3:10:06 a. m.,"355","24.0","28","946"
1/15/2021 3:11:06 a. m.,"366","24.0","28","946"
1/15/2021 3:12:06 a. m.,"362","24.0","28","946"
1/15/2021 3:13:06 a. m.,"367","24.0","28","946"
1/15/2021 3:14:06 a. m.,"352","24.0","28","946"
1/15/2021 3:15:06 a. m.,"347","24.0","28","946"
1/15/2021 3:16:06 a. m.,"376","23.9","28","946"
1/15/2021 3:17:06 a. m.,"361","23.9","28","946"
1/15/2021 3:18:06 a. m.,"362","23.9","28","946"
1/15/2021 3:19:06 a. m.,"374","23.9","28","946"
1/15/2021 3:20:06 a. m.,"368","23.9","28","946"
1/15/2021 3:21:06 a. m.,"375","23.9","28","946"
1/15/2021 3:22:06 a. m.,"360","23.9","28","946"
1/15/2021 3:23:06 a. m.,"355","23.9","28","946"
1/15/2021 3:24:06 a. m.,"361","23.9","28","946"
1/15/2021 3:25:06 a. m.,"350","23.9","28","946"
1/15/2021 3:26:06 a. m.,"353","23.9","28","946"
1/15/2021 3:27:06 a. m.,"360","23.9","28","946"
1/15/2021 3:28:06 a. m.,"358","23.8","28","946"
1/15/2021 3:29:06 a. m.,"358","23.8","28","946"
1/15/2021 3:30:06 a. m.,"370","23.8","29","946"
1/15/2021 3:31:06 a. m.,"366","23.8","29","946"
1/15/2021 3:32:06 a. m.,"379","23.8","29","946"
1/15/2021 3:33:06 a. m.,"355","23.8","29","946"
1/15/2021 3:34:06 a. m.,"361","23.8","29","946"
1/15/2021 3:35:06 a. m.,"364","23.8","29","946"
1/15/2021 3:36:06 a. m.,"366","23.8","29","946"
1/15/2021 3:37:06 a. m.,"378","23.8","29","946"
1/15/2021 3:38:06 a. m.,"366","23.8","29","946"
1/15/2021 3:39:06 a. m.,"379","23.8","29","946"
1/15/2021 3:40:06 a. m.,"373","23.8","29","946"
1/15/2021 3:41:06 a. m.,"365","23.9","29","946"
1/15/2021 3:42:06 a. m.,"376","23.9","29","946"
1/15/2021 3:43:06 a. m.,"380","23.9","29","946"
1/15/2021 3:44:06 a. m.,"375","23.9","29","946"
1/15/2021 3:45:06 a. m.,"369","23.8","29","946"
1/15/2021 3:46:06 a. m.,"365","23.9","29","946"
1/15/2021 3:47:06 a. m.,"370","23.9","29","946"
1/15/2021 3:48:06 a. m.,"361","23.9","29","946"
1/15/2021 3:49:06 a. m.,"373","23.9","29","946"
1/15/2021 3:50:06 a. m.,"366","23.9","29","946"
1/15/2021 3:51:06 a. m.,"358","23.9","29","946"
1/15/2021 3:52:06 a. m.,"366","23.9","29","946"
1/15/2021 3:53:06 a. m.,"382","23.9","29","946"
1/15/2021 3:54:06 a. m.,"381","23.8","29","946"
1/15/2021 3:55:06 a. m.,"375","23.9","29","946"
1/15/2021 3:56:06 a. m.,"358","23.9","29","946"
1/15/2021 3:57:06 a. m.,"365","23.8","29","946"
1/15/2021 3:58:06 a. m.,"370","23.8","29","946"
1/15/2021 3:59:06 a. m.,"360","23.8","29","946"
1/15/2021 4:00:06 a. m.,"354","23.8","29","946"
1/15/2021 4:01:06 a. m.,"359","23.8","29","946"
1/15/2021 4:02:06 a. m.,"376","23.8","29","946"
1/15/2021 4:03:06 a. m.,"361","23.7","29","946"
1/15/2021 4:04:06 a. m.,"369","23.7","29","946"
1/15/2021 4:05:06 a. m.,"373","23.7","29","946"
1/15/2021 4:06:06 a. m.,"357","23.7","29","946"
1/15/2021 4:07:06 a. m.,"360","23.7","29","946"
1/15/2021 4:08:06 a. m.,"372","23.7","29","946"
1/15/2021 4:09:06 a. m.,"368","23.7","29","946"
1/15/2021 4:10:06 a. m.,"363","23.7","29","946"
1/15/2021 4:11:06 a. m.,"359","23.7","29","946"
1/15/2021 4:12:06 a. m.,"364","23.7","29","946"
1/15/2021 4:13:06 a. m.,"359","23.7","29","946"
1/15/2021 4:14:06 a. m.,"364","23.7","29","946"
1/15/2021 4:15:06 a. m.,"365","23.6","29","946"
1/15/2021 4:16:06 a. m.,"365","23.6","29","946"
1/15/2021 4:17:06 a. m.,"359","23.6","29","946"
1/15/2021 4:18:06 a. m.,"365","23.6","29","946"
1/15/2021 4:19:06 a. m.,"356","23.6","29","946"
1/15/2021 4:20:06 a. m.,"360","23.6","29","946"
1/15/2021 4:21:06 a. m.,"359","23.6","29","946"
1/15/2021 4:22:06 a. m.,"357","23.6","29","946"
1/15/2021 4:23:06 a. m.,"363","23.6","29","946"
1/15/2021 4:24:06 a. m.,"352","23.5","29","946"
1/15/2021 4:25:06 a. m.,"377","23.5","29","946"
1/15/2021 4:26:06 a. m.,"359","23.5","30","946"
1/15/2021 4:27:06 a. m.,"362","23.5","30","946"
1/15/2021 4:28:06 a. m.,"345","23.5","30","946"
1/15/2021 4:29:06 a. m.,"357","23.5","30","946"
1/15/2021 4:30:06 a. m.,"373","23.5","30","946"
1/15/2021 4:31:06 a. m.,"352","23.5","30","946"
1/15/2021 4:32:06 a. m.,"377","23.5","30","946"
1/15/2021 4:33:06 a. m.,"373","23.5","30","946"
1/15/2021 4:34:06 a. m.,"363","23.5","30","946"
1/15/2021 4:35:06 a. m.,"363","23.4","30","946"
1/15/2021 4:36:06 a. m.,"379","23.4","30","946"
1/15/2021 4:37:06 a. m.,"367","23.4","30","946"
1/15/2021 4:38:06 a. m.,"360","23.4","30","946"
1/15/2021 4:39:06 a. m.,"365","23.4","30","946"
1/15/2021 4:40:06 a. m.,"363","23.4","30","946"
1/15/2021 4:41:06 a. m.,"364","23.4","30","946"
1/15/2021 4:42:06 a. m.,"373","23.4","30","946"
1/15/2021 4:43:06 a. m.,"376","23.4","30","946"
1/15/2021 4:44:06 a. m.,"370","23.4","30","946"
1/15/2021 4:45:06 a. m.,"360","23.4","30","946"
1/15/2021 4:46:06 a. m.,"362","23.4","30","946"
1/15/2021 4:47:06 a. m.,"365","23.4","30","946"
1/15/2021 4:48:06 a. m.,"357","23.4","30","946"
1/15/2021 4:49:06 a. m.,"373","23.4","30","946"
1/15/2021 4:50:06 a. m.,"365","23.4","30","946"
1/15/2021 4:51:06 a. m.,"384","23.4","30","946"
1/15/2021 4:52:06 a. m.,"369","23.4","30","946"
1/15/2021 4:53:06 a. m.,"363","23.3","30","946"
1/15/2021 4:54:06 a. m.,"352","23.4","30","946"
1/15/2021 4:55:06 a. m.,"365","23.3","30","946"
1/15/2021 4:56:06 a. m.,"377","23.4","30","946"
1/15/2021 4:57:06 a. m.,"372","23.4","30","946"
1/15/2021 4:58:06 a. m.,"376","23.3","30","946"
1/15/2021 4:59:06 a. m.,"358","23.3","30","946"
1/15/2021 5:00:06 a. m.,"373","23.3","30","946"
1/15/2021 5:01:06 a. m.,"365","23.3","30","946"
1/15/2021 5:02:06 a. m.,"365","23.3","30","946"
1/15/2021 5:03:06 a. m.,"372","23.3","30","946"
1/15/2021 5:04:06 a. m.,"364","23.3","30","946"
1/15/2021 5:05:06 a. m.,"367","23.3","30","946"
1/15/2021 5:06:06 a. m.,"360","23.3","30","946"
1/15/2021 5:07:06 a. m.,"360","23.3","30","946"
1/15/2021 5:08:06 a. m.,"356","23.3","30","946"
1/15/2021 5:09:06 a. m.,"349","23.3","30","946"
1/15/2021 5:10:06 a. m.,"359","23.3","30","946"
1/15/2021 5:11:06 a. m.,"366","23.3","30","946"
1/15/2021 5:12:06 a. m.,"365","23.3","30","946"
1/15/2021 5:13:06 a. m.,"370","23.3","30","946"
1/15/2021 5:14:06 a. m.,"374","23.2","30","946"
1/15/2021 5:15:06 a. m.,"356","23.2","30","946"
1/15/2021 5:16:06 a. m.,"350","23.2","31","946"
1/15/2021 5:17:06 a. m.,"358","23.2","31","946"
1/15/2021 5:18:06 a. m.,"370","23.3","31","946"
1/15/2021 5:19:06 a. m.,"361","23.2","31","946"
1/15/2021 5:20:06 a. m.,"363","23.2","31","946"
1/15/2021 5:21:06 a. m.,"351","23.2","31","946"
1/15/2021 5:22:06 a. m.,"355","23.2","31","946"
1/15/2021 5:23:06 a. m.,"361","23.2","31","946"
1/15/2021 5:24:06 a. m.,"370","23.2","31","946"
1/15/2021 5:25:06 a. m.,"363","23.2","31","946"
1/15/2021 5:26:06 a. m.,"353","23.2","31","946"
1/15/2021 5:27:06 a. m.,"359","23.1","31","946"
1/15/2021 5:28:06 a. m.,"373","23.1","31","946"
1/15/2021 5:29:06 a. m.,"358","23.1","31","946"
1/15/2021 5:30:06 a. m.,"360","23.1","31","946"
1/15/2021 5:31:06 a. m.,"373","23.1","31","946"
1/15/2021 5:32:06 a. m.,"361","23.1","31","946"
1/15/2021 5:33:06 a. m.,"360","23.1","31","946"
1/15/2021 5:34:06 a. m.,"368","23.1","31","946"
1/15/2021 5:35:06 a. m.,"363","23.1","31","946"
1/15/2021 5:36:06 a. m.,"366","23.1","31","946"
1/15/2021 5:37:06 a. m.,"364","23.1","31","946"
1/15/2021 5:38:06 a. m.,"368","23.0","31","946"
1/15/2021 5:39:06 a. m.,"366","23.1","31","946"
1/15/2021 5:40:06 a. m.,"351","23.0","31","946"
1/15/2021 5:41:06 a. m.,"360","23.0","31","946"
1/15/2021 5:42:06 a. m.,"363","23.0","31","946"
1/15/2021 5:43:06 a. m.,"374","23.0","31","946"
1/15/2021 5:44:06 a. m.,"373","23.0","31","946"
1/15/2021 5:45:06 a. m.,"373","23.0","31","946"
1/15/2021 5:46:06 a. m.,"364","23.0","31","946"
1/15/2021 5:47:06 a. m.,"356","22.9","31","946"
1/15/2021 5:48:06 a. m.,"362","22.9","31","946"
1/15/2021 5:49:06 a. m.,"374","22.9","31","946"
1/15/2021 5:50:06 a. m.,"368","22.9","31","946"
1/15/2021 5:51:06 a. m.,"358","22.9","31","946"
1/15/2021 5:52:06 a. m.,"370","22.9","31","946"
1/15/2021 5:53:06 a. m.,"363","22.9","31","946"
1/15/2021 5:54:06 a. m.,"365","22.9","31","946"
1/15/2021 5:55:06 a. m.,"369","22.9","31","946"
1/15/2021 5:56:06 a. m.,"370","22.9","31","946"
1/15/2021 5:57:06 a. m.,"373","22.9","31","946"
1/15/2021 5:58:06 a. m.,"367","22.9","31","946"
1/15/2021 5:59:06 a. m.,"359","22.9","31","946"
1/15/2021 6:00:06 a. m.,"366","22.8","31","946"
1/15/2021 6:01:06 a. m.,"367","22.9","31","946"
1/15/2021 6:02:06 a. m.,"369","22.8","31","946"
1/15/2021 6:03:06 a. m.,"374","22.8","31","946"
1/15/2021 6:04:06 a. m.,"370","22.8","31","946"
1/15/2021 6:05:06 a. m.,"374","22.8","31","946"
1/15/2021 6:06:06 a. m.,"377","22.8","31","946"
1/15/2021 6:07:06 a. m.,"369","22.8","31","946"
1/15/2021 6:08:06 a. m.,"373","22.8","31","946"
1/15/2021 6:09:06 a. m.,"377","22.8","31","946"
1/15/2021 6:10:06 a. m.,"383","22.8","31","946"
1/15/2021 6:11:06 a. m.,"375","22.8","31","946"
1/15/2021 6:12:06 a. m.,"370","22.8","31","946"
1/15/2021 6:13:06 a. m.,"376","22.8","31","946"
1/15/2021 6:14:06 a. m.,"379","22.8","31","946"
1/15/2021 6:15:06 a. m.,"373","22.8","32","946"
1/15/2021 6:16:06 a. m.,"363","22.8","32","946"
1/15/2021 6:17:06 a. m.,"376","22.8","32","946"
1/15/2021 6:18:06 a. m.,"381","22.8","32","946"
1/15/2021 6:19:06 a. m.,"371","22.8","32","946"
1/15/2021 6:20:06 a. m.,"380","22.8","32","946"
1/15/2021 6:21:06 a. m.,"374","22.8","32","946"
1/15/2021 6:22:06 a. m.,"376","22.8","32","946"
1/15/2021 6:23:06 a. m.,"375","22.8","32","946"
1/15/2021 6:24:06 a. m.,"375","22.8","32","946"
1/15/2021 6:25:06 a. m.,"362","22.8","32","946"
1/15/2021 6:26:06 a. m.,"370","22.8","32","946"
1/15/2021 6:27:06 a. m.,"376","22.8","32","946"
1/15/2021 6:28:06 a. m.,"378","22.8","32","946"
1/15/2021 6:29:06 a. m.,"386","22.8","32","946"
1/15/2021 6:30:06 a. m.,"379","22.8","32","946"
1/15/2021 6:31:06 a. m.,"370","22.8","32","946"
1/15/2021 6:32:06 a. m.,"377","22.9","32","946"
1/15/2021 6:33:06 a. m.,"378","22.9","32","946"
1/15/2021 6:34:06 a. m.,"369","22.9","32","946"
1/15/2021 6:35:06 a. m.,"375","22.9","32","946"
1/15/2021 6:36:06 a. m.,"382","22.9","32","946"
1/15/2021 6:37:06 a. m.,"373","22.9","33","946"
1/15/2021 6:38:06 a. m.,"368","22.9","32","946"
1/15/2021 6:39:06 a. m.,"380","22.8","32","946"
1/15/2021 6:40:06 a. m.,"361","22.9","32","946"
1/15/2021 6:41:06 a. m.,"385","22.8","32","946"
1/15/2021 6:42:06 a. m.,"388","22.8","32","946"
1/15/2021 6:43:06 a. m.,"371","22.8","32","946"
1/15/2021 6:44:06 a. m.,"379","22.8","32","946"
1/15/2021 6:45:06 a. m.,"379","22.8","32","946"
1/15/2021 6:46:06 a. m.,"368","22.8","32","946"
1/15/2021 6:47:06 a. m.,"367","22.8","32","946"
1/15/2021 6:48:06 a. m.,"376","22.8","32","946"
1/15/2021 6:49:06 a. m.,"380","22.8","32","946"
1/15/2021 6:50:06 a. m.,"381","22.8","32","946"
1/15/2021 6:51:06 a. m.,"376","22.8","32","946"
1/15/2021 6:52:06 a. m.,"390","22.8","32","946"
1/15/2021 6:53:06 a. m.,"376","22.7","32","946"
1/15/2021 6:54:06 a. m.,"376","22.7","32","946"
1/15/2021 6:55:06 a. m.,"369","22.7","32","946"
1/15/2021 6:56:06 a. m.,"382","22.7","32","946"
1/15/2021 6:57:06 a. m.,"372","22.7","32","946"
1/15/2021 6:58:06 a. m.,"370","22.7","32","946"
1/15/2021 6:59:06 a. m.,"371","22.7","32","946"
1/15/2021 7:00:06 a. m.,"371","22.7","32","946"
1/15/2021 7:01:06 a. m.,"376","22.7","32","946"
1/15/2021 7:02:06 a. m.,"372","22.7","32","946"
1/15/2021 7:03:06 a. m.,"368","22.6","32","946"
1/15/2021 7:04:06 a. m.,"377","22.6","32","946"
1/15/2021 7:05:06 a. m.,"397","22.6","32","946"
1/15/2021 7:06:06 a. m.,"373","22.6","32","946"
1/15/2021 7:07:06 a. m.,"378","22.6","32","946"
1/15/2021 7:08:06 a. m.,"364","22.6","32","946"
1/15/2021 7:09:06 a. m.,"380","22.6","32","946"
1/15/2021 7:10:06 a. m.,"378","22.6","32","946"
1/15/2021 7:11:06 a. m.,"371","22.6","32","946"
1/15/2021 7:12:06 a. m.,"377","22.6","32","946"
1/15/2021 7:13:06 a. m.,"374","22.6","32","946"
1/15/2021 7:14:06 a. m.,"388","22.6","32","946"
1/15/2021 7:15:06 a. m.,"379","22.6","32","946"
1/15/2021 7:16:06 a. m.,"377","22.6","33","946"
1/15/2021 7:17:06 a. m.,"376","22.6","33","946"
1/15/2021 7:18:06 a. m.,"380","22.6","33","946"
1/15/2021 7:19:06 a. m.,"383","22.6","33","946"
1/15/2021 7:20:06 a. m.,"389","22.7","33","946"
1/15/2021 7:21:06 a. m.,"379","22.7","33","946"
1/15/2021 7:22:06 a. m.,"381","22.7","33","946"
1/15/2021 7:23:06 a. m.,"377","22.7","33","946"
1/15/2021 7:24:06 a. m.,"388","22.7","33","946"
1/15/2021 7:25:06 a. m.,"386","22.7","33","946"
1/15/2021 7:26:06 a. m.,"390","22.7","33","946"
1/15/2021 7:27:06 a. m.,"399","22.7","33","946"
1/15/2021 7:28:06 a. m.,"390","22.6","33","946"
1/15/2021 7:29:06 a. m.,"381","22.6","33","947"
1/15/2021 7:30:06 a. m.,"384","22.6","33","947"
1/15/2021 7:31:06 a. m.,"374","22.7","33","947"
1/15/2021 7:32:06 a. m.,"397","22.6","33","947"
1/15/2021 7:33:06 a. m.,"365","22.7","33","947"
1/15/2021 7:34:06 a. m.,"379","22.6","33","947"
1/15/2021 7:35:06 a. m.,"391","22.7","33","947"
1/15/2021 7:36:06 a. m.,"392","22.6","33","947"
1/15/2021 7:37:06 a. m.,"382","22.7","33","947"
1/15/2021 7:38:06 a. m.,"381","22.7","33","947"
1/15/2021 7:39:06 a. m.,"398","22.7","33","947"
1/15/2021 7:40:06 a. m.,"382","22.7","33","947"
1/15/2021 7:41:06 a. m.,"390","22.7","33","947"
1/15/2021 7:42:06 a. m.,"394","22.7","33","947"
1/15/2021 7:43:06 a. m.,"383","22.7","33","947"
1/15/2021 7:44:06 a. m.,"391","22.7","33","947"
